字词频统计_语料库在线(www.cncorpus.org)
2022/1/21 12:40:05

序号		字词		出现次数		出现频率
176		brown		2		0.0837
177		btw		2		0.0837
178		bunch		2		0.0837
179		buy		2		0.0837
180		buying		2		0.0837
181		careful		2		0.0837
182		causing		2		0.0837
183		change		2		0.0837
184		changing		2		0.0837
185		cheap		2		0.0837
186		check		2		0.0837
187		chew		2		0.0837
188		chopped		2		0.0837
189		church		2		0.0837
190		clunky		2		0.0837
191		comparable		2		0.0837
192		considered		2		0.0837
193		cost		2		0.0837
194		crack		2		0.0837
195		dad		2		0.0837
196		darn		2		0.0837
197		days		2		0.0837
198		easily		2		0.0837
199		embarrassing		2		0.0837
200		enjoy		2		0.0837
201		excited		2		0.0837
202		fall		2		0.0837
203		finish		2		0.0837
204		fits		2		0.0837
205		fold		2		0.0837
206		frame		2		0.0837
207		framed		2		0.0837
208		freezer		2		0.0837
209		front		2		0.0837
210		funny		2		0.0837
211		gifts		2		0.0837
212		grandmas		2		0.0837
213		guys		2		0.0837
214		handle		2		0.0837
215		hard		2		0.0837
216		hasn		2		0.0837
217		hater		2		0.0837
218		haven		2		0.0837
219		heard		2		0.0837
220		hold		2		0.0837
221		hotels		2		0.0837
222		However		2		0.0837
223		ifier		2		0.0837
224		inches		2		0.0837
225		initially		2		0.0837
226		issue		2		0.0837
227		issues		2		0.0837
228		landed		2		0.0837
229		locate		2		0.0837
230		locked		2		0.0837
231		marked		2		0.0837
232		mattresses		2		0.0837
233		mind		2		0.0837
234		minimal		2		0.0837
235		modified		2		0.0837
236		monkey		2		0.0837
237		My		2		0.0837
238		nice		2		0.0837
239		note		2		0.0837
240		offering		2		0.0837
241		One		2		0.0837
242		online		2		0.0837
243		package		2		0.0837
244		personally		2		0.0837
245		pews		2		0.0837
246		plan		2		0.0837
247		plastic		2		0.0837
248		pretty		2		0.0837
249		price		2		0.0837
250		pull		2		0.0837
251		pumping		2		0.0837
252		puppy		2		0.0837
253		purchased		2		0.0837
254		quality		2		0.0837
255		received		2		0.0837
256		recommend		2		0.0837
257		refused		2		0.0837
258		regalos		2		0.0837
259		regret		2		0.0837
260		rereading		2		0.0837
261		rolling		2		0.0837
262		school		2		0.0837
263		scramble		2		0.0837
264		sealed		2		0.0837
265		seams		2		0.0837
266		shipping		2		0.0837
267		shorter		2		0.0837
268		shower		2		0.0837
269		slid		2		0.0837
270		slide		2		0.0837
271		slip		2		0.0837
272		snap		2		0.0837
273		sound		2		0.0837
274		space		2		0.0837
275		squeeze		2		0.0837
276		stand		2		0.0837
277		stays		2		0.0837
278		store		2		0.0837
279		stores		2		0.0837
280		storing		2		0.0837
281		straps		2		0.0837
282		suckers		2		0.0837
283		superior		2		0.0837
284		switching		2		0.0837
285		teething		2		0.0837
286		tend		2		0.0837
287		That		2		0.0837
288		thick		2		0.0837
289		thrown		2		0.0837
290		tossed		2		0.0837
291		travel		2		0.0837
292		trip		2		0.0837
293		type		2		0.0837
294		warnings		2		0.0837
295		wedge		2		0.0837
296		wedges		2		0.0837
297		weight		2		0.0837
298		welded		2		0.0837
299		wouldn		2		0.0837
300		yeah		2		0.0837
301		Your		2		0.0837
302		频率		2		0.0837
303		统计		2		0.0837
304		
bags		1		0.0418
305		
I		1		0.0418
306		
sets		1		0.0418
307		&amp;		1		0.0418
308		。		1		0.0418
309		007		1		0.0418
310		40		1		0.0418
311		8		1		0.0418
312		9		1		0.0418
313		affordable		1		0.0418
314		angle		1		0.0418
315		asin		1		0.0418
316		asleep		1		0.0418
317		attached		1		0.0418
318		awake		1		0.0418
319		awkward		1		0.0418
320		b		1		0.0418
321		babies		1		0.0418
322		based		1		0.0418
323		belts		1		0.0418
324		bottom		1		0.0418
325		bought		1		0.0418
326		breast		1		0.0418
327		budge		1		0.0418
328		buttons		1		0.0418
329		car		1		0.0418
330		carrying		1		0.0418
331		center		1		0.0418
332		climb		1		0.0418
333		combine		1		0.0418
334		compare		1		0.0418
335		completely		1		0.0418
336		connect		1		0.0418
337		cracks		1		0.0418
338		create		1		0.0418
339		ct		1		0.0418
340		dark		1		0.0418
341		defrost		1		0.0418
342		designed		1		0.0418
343		diaper		1		0.0418
344		digging		1		0.0418
345		directions		1		0.0418
346		directly		1		0.0418
347		disclaimers		1		0.0418
348		double		1		0.0418
349		dreams		1		0.0418
350		expensive		1		0.0418
351		extra		1		0.0418
352		falls		1		0.0418
353		features		1		0.0418
354		figuring		1		0.0418
355		fill		1		0.0418
356		filling		1		0.0418
357		flaws		1		0.0418
358		grab		1		0.0418
359		grips		1		0.0418
360		haves		1		0.0418
361		height		1		0.0418
362		holes		1		0.0418
363		hospital		1		0.0418
364		ice		1		0.0418
365		install		1		0.0418
366		installing		1		0.0418
367		interchangeable		1		0.0418
368		job		1		0.0418
369		label		1		0.0418
370		laundry		1		0.0418
371		length		1		0.0418
372		Let		1		0.0418
373		lifted		1		0.0418
374		listed		1		0.0418
375		lives		1		0.0418
376		ll		1		0.0418
377		lose		1		0.0418
378		losing		1		0.0418
379		love		1		0.0418
380		lovie		1		0.0418
381		low		1		0.0418
382		manufacturer		1		0.0418
383		master		1		0.0418
384		matches		1		0.0418
385		meant		1		0.0418
386		messy		1		0.0418
387		metal		1		0.0418
388		milk		1		0.0418
389		minutes		1		0.0418
390		nicer		1		0.0418
391		opinion		1		0.0418
392		pack		1		0.0418
393		packs		1		0.0418
394		partially		1		0.0418
395		perfect		1		0.0418
396		perfectly		1		0.0418
397		person		1		0.0418
398		personality		1		0.0418
399		pexokw		1		0.0418
400		playpen		1		0.0418
401		products		1		0.0418
402		pulled		1		0.0418
403		pumped		1		0.0418
404		purchasing		1		0.0418
405		pushed		1		0.0418
406		rails		1		0.0418
407		read		1		0.0418
408		ready		1		0.0418
409		reasons		1		0.0418
410		reassure		1		0.0418
411		reassuring		1		0.0418
412		recognizable		1		0.0418
413		regular		1		0.0418
414		release		1		0.0418
415		remove		1		0.0418
416		removing		1		0.0418
417		retrieving		1		0.0418
418		rigid		1		0.0418
419		roll		1		0.0418
420		rubber		1		0.0418
421		safe		1		0.0418
422		safer		1		0.0418
423		save		1		0.0418
424		seal		1		0.0418
425		seals		1		0.0418
426		size		1		0.0418
427		sleep		1		0.0418
428		snuggles		1		0.0418
429		soap		1		0.0418
430		son		1		0.0418
431		sooner		1		0.0418
432		special		1		0.0418
433		splitting		1		0.0418
434		squatty		1		0.0418
435		stars		1		0.0418
436		start		1		0.0418
437		stay		1		0.0418
438		sterile		1		0.0418
439		strap		1		0.0418
440		strong		1		0.0418
441		sucker		1		0.0418
442		tails		1		0.0418
443		tension		1		0.0418
444		thin		1		0.0418
445		thrash		1		0.0418
446		throw		1		0.0418
447		tighten		1		0.0418
448		upright		1		0.0418
449		variety		1		0.0418
450		version		1		0.0418
451		wasting		1		0.0418
452		water		1		0.0418
453		width		1		0.0418
454		wildest		1		0.0418
455		wise		1		0.0418
456		wonderful		1		0.0418
457		WubbaNub		1		0.0418
458		按钮		1		0.0418
459		本		1		0.0418
460		的		1		0.0418
461		点击		1		0.0418
462		段		1		0.0418
463		获得		1		0.0418
464		结果		1		0.0418
465		输入		1		0.0418
466		文		1		0.0418
467		文字		1		0.0418
468		一		1		0.0418
469		字词		1		0.0418
